GO-term	Name	Category	NumberOfProteinsInNetwork	TPD	P-value	FDR	ProteinAccessions	ProteinNames
GO:0000278	mitotic cell cycle	biological_process	30	1600	1.78E-06	0.009118541	P61586|P49454|Q08379|P05556|Q99567|O95613|P09884|P49642|P49643|P17612|P31323|P35658|Q13617|Q66GS9|Q99996|O43823|Q96CW5|Q9BSJ2|Q7Z7A1|O14578|O95684|Q9BV73|Q9Y2I6|O60885|P37198|Q14181|Q9UH99|Q9NXK8|Q96SN8|Q8TD19|	RHOA|CENPF|GOLGA2|ITGB1|NUP88|PCNT|POLA1|PRIM1|PRIM2|PRKACA|PRKAR2B|NUP214|CUL2|CEP135|AKAP9|AKAP8|TUBGCP3|TUBGCP2|CNTRL|CIT|FGFR1OP|CEP250|NINL|BRD4|NUP62|POLA2|SUN2|FBXL12|CDK5RAP2|NEK9|
GO:0000280	nuclear division	biological_process	6	44	0.007936592	0.109433962	P61586|Q08379|O43823|Q96CW5|Q9BSJ2|P37198|	RHOA|GOLGA2|AKAP8|TUBGCP3|TUBGCP2|NUP62|
GO:0000287	magnesium ion binding	molecular_function	4	31	0.464612542	0.707334274	Q7KZI7|Q9P0L2|P17612|Q9H773|	MARK2|MARK1|PRKACA|DCTPP1|
GO:0000288	"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay"	biological_process	4	6	3.68E-04	0.009118541	Q96B26|Q13868|Q9NQT5|Q9NQT4|	EXOSC8|EXOSC2|EXOSC3|EXOSC5|
GO:0000291	"nuclear-transcribed mRNA catabolic process, exonucleolytic"	biological_process	4	6	3.68E-04	0.009118541	Q96B26|Q13868|Q9NQT5|Q9NQT4|	EXOSC8|EXOSC2|EXOSC3|EXOSC5|
GO:0000313	organellar ribosome	cellular_component	3	3	0.002764556	0.034602076	Q92552|Q9Y399|P82675|	MRPS27|MRPS2|MRPS5|
GO:0000314	organellar small ribosomal subunit	cellular_component	3	3	0.002764556	0.034602076	Q92552|Q9Y399|P82675|	MRPS27|MRPS2|MRPS5|
GO:0000323	lytic vacuole	cellular_component	21	1084	0.367061893	0.611028316	O94973|P38606|Q96CW1|P12109|P00387|P27105|P06280|P62873|Q99519|P50897|P61019|P51148|P51149|O00203|Q92820|P61916|Q96JC1|P61106|Q9H270|Q8IWA5|Q9H7Z7|	AP2A2|ATP6V1A|AP2M1|COL6A1|CYB5R3|STOM|GLA|GNB1|NEU1|PPT1|RAB2A|RAB5C|RAB7A|AP3B1|GGH|NPC2|VPS39|RAB14|VPS11|SLC44A2|PTGES2|
GO:0000375	"RNA splicing, via transesterification reactions"	biological_process	6	46	0.011452989	0.109433962	P13984|O00566|Q6UX04|O95391|P11940|Q9H2H8|	GTF2F2|MPHOSPH10|CWC27|SLU7|PABPC1|PPIL3|
GO:0000377	"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile"	biological_process	5	19	9.80E-04	0.009118541	P13984|Q6UX04|O95391|P11940|Q9H2H8|	GTF2F2|CWC27|SLU7|PABPC1|PPIL3|
GO:0000398	"mRNA splicing, via spliceosome"	biological_process	5	19	9.80E-04	0.009118541	P13984|Q6UX04|O95391|P11940|Q9H2H8|	GTF2F2|CWC27|SLU7|PABPC1|PPIL3|
GO:0000428	DNA-directed RNA polymerase complex	cellular_component	5	19	9.80E-04	0.009118541	P13984|P09884|P49642|P49643|Q14181|	GTF2F2|POLA1|PRIM1|PRIM2|POLA2|
GO:0000459	exonucleolytic trimming involved in rRNA processing	biological_process	3	3	0.002764556	0.034602076	Q96B26|Q13868|Q9NQT5|	EXOSC8|EXOSC2|EXOSC3|
GO:0000460	maturation of 5.8S rRNA	biological_process	3	3	0.002764556	0.034602076	Q96B26|Q13868|Q9NQT5|	EXOSC8|EXOSC2|EXOSC3|
GO:0000466	"maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"	biological_process	3	3	0.002764556	0.034602076	Q96B26|Q13868|Q9NQT5|	EXOSC8|EXOSC2|EXOSC3|
GO:0000467	"exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"	biological_process	3	3	0.002764556	0.034602076	Q96B26|Q13868|Q9NQT5|	EXOSC8|EXOSC2|EXOSC3|
GO:0000469	cleavage involved in rRNA processing	biological_process	3	3	0.002764556	0.034602076	Q96B26|Q13868|Q9NQT5|	EXOSC8|EXOSC2|EXOSC3|
GO:0000502	proteasome complex	cellular_component	3	20	0.808820532	0.978115502	P14735|P48556|O76024|	IDE|PSMD8|WFS1|
GO:0000723	telomere maintenance	biological_process	5	19	9.80E-04	0.009118541	P09884|P49642|P49643|Q92900|Q14181|	POLA1|PRIM1|PRIM2|UPF1|POLA2|
GO:0000775	"chromosome, centromeric region"	cellular_component	4	44	0.946739445	1	P49454|P26358|P52948|Q8NEJ9|	CENPF|DNMT1|NUP98|NGDN|
GO:0000785	chromatin	cellular_component	9	210	0.76203382	0.944548287	P49454|P19784|P67870|P26358|Q92769|P09884|Q92900|Q9NQT5|Q9NQT4|	CENPF|CSNK2A2|CSNK2B|DNMT1|HDAC2|POLA1|UPF1|EXOSC3|EXOSC5|
GO:0000793	condensed chromosome	cellular_component	4	35	0.668278322	0.868046572	P49454|O43823|O60885|Q9UH99|	CENPF|AKAP8|BRD4|SUN2|
GO:0000902	cell morphogenesis	biological_process	9	109	0.001345031	0.034602076	P61586|P12109|P05556|P61006|P62820|O14745|P61026|O75592|Q8N4C6|	RHOA|COL6A1|ITGB1|RAB8A|RAB1A|SLC9A3R1|RAB10|MYCBP2|NIN|
GO:0000904	cell morphogenesis involved in differentiation	biological_process	8	91	0.005908721	0.109433962	P12109|P05556|P61006|P62820|O14745|P61026|O75592|Q8N4C6|	COL6A1|ITGB1|RAB8A|RAB1A|SLC9A3R1|RAB10|MYCBP2|NIN|
GO:0000922	spindle pole	cellular_component	8	100	0.016934238	0.109433962	P49454|Q08379|P78406|Q96CW5|Q9BSJ2|P37198|Q8N4C6|Q96SN8|	CENPF|GOLGA2|RAE1|TUBGCP3|TUBGCP2|NUP62|NIN|CDK5RAP2|
GO:0000930	gamma-tubulin complex	cellular_component	3	3	0.002764556	0.034602076	Q96CW5|Q9BSJ2|Q96SN8|	TUBGCP3|TUBGCP2|CDK5RAP2|
GO:0000956	nuclear-transcribed mRNA catabolic process	biological_process	8	46	3.44E-06	0.009118541	Q92900|O75534|Q96B26|Q13868|Q9Y3U8|P11940|Q9NQT5|Q9NQT4|	UPF1|CSDE1|EXOSC8|EXOSC2|RPL36|PABPC1|EXOSC3|EXOSC5|
GO:0001101	response to acid chemical	biological_process	6	53	0.036236721	0.26221336	P61586|P12109|P26358|P62873|Q92769|O43823|	RHOA|COL6A1|DNMT1|GNB1|HDAC2|AKAP8|
GO:0001501	skeletal system development	biological_process	6	85	0.079088439	0.26221336	Q08117|P61586|P12109|P35555|P35556|Q4KMQ2|	AES|RHOA|COL6A1|FBN1|FBN2|ANO6|
GO:0001503	ossification	biological_process	3	10	0.105790915	0.30106486	P61586|P12109|Q4KMQ2|	RHOA|COL6A1|ANO6|
GO:0001505	regulation of neurotransmitter levels	biological_process	3	25	0.973189208	1	P06280|P16435|P50897|	GLA|POR|PPT1|
GO:0001525	angiogenesis	biological_process	3	12	0.204949155	0.432523051	P09601|P05556|Q08431|	HMOX1|ITGB1|MFGE8|
GO:0001558	regulation of cell growth	biological_process	5	47	0.295519316	0.520408163	P61586|P50897|O95684|Q13868|Q9NQC3|	RHOA|PPT1|FGFR1OP|EXOSC2|RTN4|
GO:0001568	blood vessel development	biological_process	4	23	0.127803984	0.333647502	P09601|P05556|Q08431|Q86YT6|	HMOX1|ITGB1|MFGE8|MIB1|
GO:0001654	eye development	biological_process	5	38	0.086952456	0.26221336	P35555|P35556|P62873|Q92769|Q9NP72|	FBN1|FBN2|GNB1|HDAC2|RAB18|
GO:0001655	urogenital system development	biological_process	3	12	0.204949155	0.432523051	P49454|P35555|O76024|	CENPF|FBN1|WFS1|
GO:0001666	response to hypoxia	biological_process	9	225	0.035631013	0.26221336	P61586|P05026|P62873|P09601|O00469|Q13617|O76061|P62877|Q9Y4L1|	RHOA|ATP1B1|GNB1|HMOX1|PLOD2|CUL2|STC2|RBX1|HYOU1|
GO:0001676	long-chain fatty acid metabolic process	biological_process	4	52	0.996101287	1	O95573|O14975|Q9H845|Q9H7Z7|	ACSL3|SLC27A2|ACAD9|PTGES2|
GO:0001704	formation of primary germ layer	biological_process	3	4	0.005483653	0.034602076	P12109|P05556|P17612|	COL6A1|ITGB1|PRKACA|
GO:0001726	ruffle	cellular_component	5	19	9.80E-04	0.009118541	P62330|P61586|P05556|P35241|O14745|	ARF6|RHOA|ITGB1|RDX|SLC9A3R1|
GO:0001738	morphogenesis of a polarized epithelium	biological_process	3	7	0.029419017	0.26221336	P61586|O14745|P61026|	RHOA|SLC9A3R1|RAB10|
GO:0001775	cell activation	biological_process	26	1778	0.650307092	0.857605178	O94973|P61586|P67870|P00387|P27105|P55085|P06280|P62873|P05556|Q99519|P51148|P51149|Q92820|P61916|P61026|O14975|Q9NP72|Q9BS26|Q9UHD2|Q9UJZ1|Q9NQT5|Q7Z5G4|P61106|Q8IWA5|Q9H7Z7|Q4KMQ2|	AP2A2|RHOA|CSNK2B|CYB5R3|STOM|F2RL1|GLA|GNB1|ITGB1|NEU1|RAB5C|RAB7A|GGH|NPC2|RAB10|SLC27A2|RAB18|ERP44|TBK1|STOML2|EXOSC3|GOLGA7|RAB14|SLC44A2|PTGES2|ANO6|
GO:0001816	cytokine production	biological_process	4	42	0.911825875	1	P55085|P62820|Q9UHD2|Q9UJZ1|	F2RL1|RAB1A|TBK1|STOML2|
GO:0001817	regulation of cytokine production	biological_process	7	99	0.256413271	0.474493927	P55085|Q92769|P09601|Q13546|P61970|O43823|Q9UHD2|	F2RL1|HDAC2|HMOX1|RIPK1|NUTF2|AKAP8|TBK1|
GO:0001818	negative regulation of cytokine production	biological_process	5	41	0.138823844	0.345149254	P55085|P09601|P61970|O43823|Q9UHD2|	F2RL1|HMOX1|NUTF2|AKAP8|TBK1|
GO:0001819	positive regulation of cytokine production	biological_process	5	55	0.576801226	0.802543507	P55085|Q92769|P09601|Q13546|Q9UHD2|	F2RL1|HDAC2|HMOX1|RIPK1|TBK1|
GO:0001822	kidney development	biological_process	3	12	0.204949155	0.432523051	P49454|P35555|O76024|	CENPF|FBN1|WFS1|
GO:0001838	embryonic epithelial tube formation	biological_process	3	7	0.029419017	0.26221336	P17612|P11233|Q86YT6|	PRKACA|RALA|MIB1|
GO:0001841	neural tube formation	biological_process	3	7	0.029419017	0.26221336	P17612|P11233|Q86YT6|	PRKACA|RALA|MIB1|
GO:0001882	nucleoside binding	molecular_function	14	271	2.70E-05	0.009118541	P62330|P61586|P61006|P09884|P62820|P61019|P51148|P11233|P61011|P51149|P61026|Q9NP72|Q8N4C6|P61106|	ARF6|RHOA|RAB8A|POLA1|RAB1A|RAB2A|RAB5C|RALA|SRP54|RAB7A|RAB10|RAB18|NIN|RAB14|
GO:0001883	purine nucleoside binding	molecular_function	13	194	1.45E-06	0.009118541	P62330|P61586|P61006|P62820|P61019|P51148|P11233|P61011|P51149|P61026|Q9NP72|Q8N4C6|P61106|	ARF6|RHOA|RAB8A|RAB1A|RAB2A|RAB5C|RALA|SRP54|RAB7A|RAB10|RAB18|NIN|RAB14|
GO:0001889	liver development	biological_process	4	28	0.314968429	0.547081712	P62330|P19784|P67870|P09601|	ARF6|CSNK2A2|CSNK2B|HMOX1|
GO:0001932	regulation of protein phosphorylation	biological_process	18	543	1.79E-04	0.009118541	P61586|Q15904|P67870|Q7KZI7|P55085|Q92769|P17612|P13861|P31323|Q13546|O14745|Q99996|Q9H4P4|O43823|O95684|O60885|P37198|Q9UHD2|	RHOA|ATP6AP1|CSNK2B|MARK2|F2RL1|HDAC2|PRKACA|PRKAR2A|PRKAR2B|RIPK1|SLC9A3R1|AKAP9|RNF41|AKAP8|FGFR1OP|BRD4|NUP62|TBK1|
GO:0001933	negative regulation of protein phosphorylation	biological_process	6	35	0.001232891	0.034602076	P55085|P13861|P31323|O14745|O95684|P37198|	F2RL1|PRKAR2A|PRKAR2B|SLC9A3R1|FGFR1OP|NUP62|
GO:0001934	positive regulation of protein phosphorylation	biological_process	12	226	0.001565558	0.034602076	P61586|Q15904|P67870|Q7KZI7|P55085|Q92769|P17612|P13861|P31323|Q13546|Q99996|Q9UHD2|	RHOA|ATP6AP1|CSNK2B|MARK2|F2RL1|HDAC2|PRKACA|PRKAR2A|PRKAR2B|RIPK1|AKAP9|TBK1|
GO:0001944	vasculature development	biological_process	4	23	0.127803984	0.333647502	P09601|P05556|Q08431|Q86YT6|	HMOX1|ITGB1|MFGE8|MIB1|
GO:0002009	morphogenesis of an epithelium	biological_process	7	49	3.94E-04	0.009118541	P61586|P67870|P17612|P11233|O14745|P61026|Q86YT6|	RHOA|CSNK2B|PRKACA|RALA|SLC9A3R1|RAB10|MIB1|
GO:0002020	protease binding	molecular_function	3	18	0.673455418	0.884615385	P05556|Q13438|Q2T9J0|	ITGB1|OS9|TYSND1|
GO:0002028	regulation of sodium ion transport	biological_process	3	11	0.149967436	0.364963504	P05026|P27105|O14745|	ATP1B1|STOM|SLC9A3R1|
GO:0002064	epithelial cell development	biological_process	3	6	0.017663662	0.109433962	P55085|P35241|O14745|	F2RL1|RDX|SLC9A3R1|
GO:0002218	activation of innate immune response	biological_process	3	11	0.149967436	0.364963504	P17612|Q13546|Q9UHD2|	PRKACA|RIPK1|TBK1|
GO:0002237	response to molecule of bacterial origin	biological_process	4	32	0.5168213	0.764344262	P61586|Q92769|Q92900|O43823|	RHOA|HDAC2|UPF1|AKAP8|
GO:0002252	immune effector process	biological_process	24	1513	0.65500649	0.857605178	O94973|P61586|P67870|P00387|P27105|P55085|P06280|Q99519|P51148|P51149|Q92820|P61916|P61026|O14975|Q9NP72|Q9BS26|Q9UHD2|Q9NQT5|Q7Z5G4|P61106|Q9NQT4|Q8IWA5|Q9H7Z7|Q4KMQ2|	AP2A2|RHOA|CSNK2B|CYB5R3|STOM|F2RL1|GLA|NEU1|RAB5C|RAB7A|GGH|NPC2|RAB10|SLC27A2|RAB18|ERP44|TBK1|EXOSC3|GOLGA7|RAB14|EXOSC5|SLC44A2|PTGES2|ANO6|
GO:0002253	activation of immune response	biological_process	4	40	0.862169674	1	P17612|Q13546|Q9UHD2|Q9UJZ1|	PRKACA|RIPK1|TBK1|STOML2|
GO:0002263	cell activation involved in immune response	biological_process	22	1238	0.541044409	0.782225237	O94973|P61586|P67870|P00387|P27105|P55085|P06280|Q99519|P51148|P51149|Q92820|P61916|P61026|O14975|Q9NP72|Q9BS26|Q9NQT5|Q7Z5G4|P61106|Q8IWA5|Q9H7Z7|Q4KMQ2|	AP2A2|RHOA|CSNK2B|CYB5R3|STOM|F2RL1|GLA|NEU1|RAB5C|RAB7A|GGH|NPC2|RAB10|SLC27A2|RAB18|ERP44|EXOSC3|GOLGA7|RAB14|SLC44A2|PTGES2|ANO6|
GO:0002274	myeloid leukocyte activation	biological_process	21	1101	0.436707204	0.683948864	O94973|P61586|P67870|P00387|P27105|P55085|P06280|Q99519|P51148|P51149|Q92820|P61916|P61026|O14975|Q9NP72|Q9BS26|Q7Z5G4|P61106|Q8IWA5|Q9H7Z7|Q4KMQ2|	AP2A2|RHOA|CSNK2B|CYB5R3|STOM|F2RL1|GLA|NEU1|RAB5C|RAB7A|GGH|NPC2|RAB10|SLC27A2|RAB18|ERP44|GOLGA7|RAB14|SLC44A2|PTGES2|ANO6|
GO:0002275	myeloid cell activation involved in immune response	biological_process	20	986	0.397123125	0.634218289	O94973|P61586|P67870|P00387|P27105|P06280|Q99519|P51148|P51149|Q92820|P61916|P61026|O14975|Q9NP72|Q9BS26|Q7Z5G4|P61106|Q8IWA5|Q9H7Z7|Q4KMQ2|	AP2A2|RHOA|CSNK2B|CYB5R3|STOM|GLA|NEU1|RAB5C|RAB7A|GGH|NPC2|RAB10|SLC27A2|RAB18|ERP44|GOLGA7|RAB14|SLC44A2|PTGES2|ANO6|
GO:0002283	neutrophil activation involved in immune response	biological_process	20	986	0.397123125	0.634218289	O94973|P61586|P67870|P00387|P27105|P06280|Q99519|P51148|P51149|Q92820|P61916|P61026|O14975|Q9NP72|Q9BS26|Q7Z5G4|P61106|Q8IWA5|Q9H7Z7|Q4KMQ2|	AP2A2|RHOA|CSNK2B|CYB5R3|STOM|GLA|NEU1|RAB5C|RAB7A|GGH|NPC2|RAB10|SLC27A2|RAB18|ERP44|GOLGA7|RAB14|SLC44A2|PTGES2|ANO6|
GO:0002366	leukocyte activation involved in immune response	biological_process	22	1238	0.541044409	0.782225237	O94973|P61586|P67870|P00387|P27105|P55085|P06280|Q99519|P51148|P51149|Q92820|P61916|P61026|O14975|Q9NP72|Q9BS26|Q9NQT5|Q7Z5G4|P61106|Q8IWA5|Q9H7Z7|Q4KMQ2|	AP2A2|RHOA|CSNK2B|CYB5R3|STOM|F2RL1|GLA|NEU1|RAB5C|RAB7A|GGH|NPC2|RAB10|SLC27A2|RAB18|ERP44|EXOSC3|GOLGA7|RAB14|SLC44A2|PTGES2|ANO6|
GO:0002376	immune system process	biological_process	36	3448	0.6657022	0.857605178	O94973|P61586|P05026|Q96CW1|P67870|P00387|P27105|P55085|P06280|P09601|P05556|Q99519|P17612|P51148|P51149|O00203|Q13546|Q13310|Q92820|A7MCY6|O43823|P61916|P61026|O14975|Q9NP72|Q9BS26|Q9UHD2|Q9UJZ1|Q9NQT5|Q7Z5G4|Q9BQ95|P61106|Q9NQT4|Q8IWA5|Q9H7Z7|Q4KMQ2|	AP2A2|RHOA|ATP1B1|AP2M1|CSNK2B|CYB5R3|STOM|F2RL1|GLA|HMOX1|ITGB1|NEU1|PRKACA|RAB5C|RAB7A|AP3B1|RIPK1|PABPC4|GGH|TBKBP1|AKAP8|NPC2|RAB10|SLC27A2|RAB18|ERP44|TBK1|STOML2|EXOSC3|GOLGA7|ECSIT|RAB14|EXOSC5|SLC44A2|PTGES2|ANO6|
GO:0002443	leukocyte mediated immunity	biological_process	21	1115	0.49568257	0.734822052	O94973|P61586|P67870|P00387|P27105|P06280|Q99519|P51148|P51149|Q92820|P61916|P61026|O14975|Q9NP72|Q9BS26|Q9NQT5|Q7Z5G4|P61106|Q8IWA5|Q9H7Z7|Q4KMQ2|	AP2A2|RHOA|CSNK2B|CYB5R3|STOM|GLA|NEU1|RAB5C|RAB7A|GGH|NPC2|RAB10|SLC27A2|RAB18|ERP44|EXOSC3|GOLGA7|RAB14|SLC44A2|PTGES2|ANO6|
GO:0002444	myeloid leukocyte mediated immunity	biological_process	20	986	0.397123125	0.634218289	O94973|P61586|P67870|P00387|P27105|P06280|Q99519|P51148|P51149|Q92820|P61916|P61026|O14975|Q9NP72|Q9BS26|Q7Z5G4|P61106|Q8IWA5|Q9H7Z7|Q4KMQ2|	AP2A2|RHOA|CSNK2B|CYB5R3|STOM|GLA|NEU1|RAB5C|RAB7A|GGH|NPC2|RAB10|SLC27A2|RAB18|ERP44|GOLGA7|RAB14|SLC44A2|PTGES2|ANO6|
GO:0002446	neutrophil mediated immunity	biological_process	20	986	0.397123125	0.634218289	O94973|P61586|P67870|P00387|P27105|P06280|Q99519|P51148|P51149|Q92820|P61916|P61026|O14975|Q9NP72|Q9BS26|Q7Z5G4|P61106|Q8IWA5|Q9H7Z7|Q4KMQ2|	AP2A2|RHOA|CSNK2B|CYB5R3|STOM|GLA|NEU1|RAB5C|RAB7A|GGH|NPC2|RAB10|SLC27A2|RAB18|ERP44|GOLGA7|RAB14|SLC44A2|PTGES2|ANO6|
GO:0002478	antigen processing and presentation of exogenous peptide antigen	biological_process	3	5	0.010116492	0.109433962	O94973|Q96CW1|P51149|	AP2A2|AP2M1|RAB7A|
GO:0002495	antigen processing and presentation of peptide antigen via MHC class II	biological_process	3	5	0.010116492	0.109433962	O94973|Q96CW1|P51149|	AP2A2|AP2M1|RAB7A|
GO:0002504	antigen processing and presentation of peptide or polysaccharide antigen via MHC class II	biological_process	3	5	0.010116492	0.109433962	O94973|Q96CW1|P51149|	AP2A2|AP2M1|RAB7A|
GO:0002520	immune system development	biological_process	5	45	0.235733617	0.459459459	P61586|P55085|P05556|Q13310|Q9NQT5|	RHOA|F2RL1|ITGB1|PABPC4|EXOSC3|
GO:0002521	leukocyte differentiation	biological_process	3	6	0.017663662	0.109433962	P61586|P55085|P05556|	RHOA|F2RL1|ITGB1|
GO:0002682	regulation of immune system process	biological_process	15	668	0.690219258	0.894904459	P61586|Q15904|P55085|P35555|P09601|P05556|Q9HCE1|P17612|O00203|Q13546|Q9H4P4|Q9UHD2|Q9UJZ1|Q9NQT5|Q4KMQ2|	RHOA|ATP6AP1|F2RL1|FBN1|HMOX1|ITGB1|MOV10|PRKACA|AP3B1|RIPK1|RNF41|TBK1|STOML2|EXOSC3|ANO6|
GO:0002683	negative regulation of immune system process	biological_process	3	14	0.344818652	0.591047041	P55085|P35555|P09601|	F2RL1|FBN1|HMOX1|
GO:0002684	positive regulation of immune system process	biological_process	11	384	0.796102884	0.962438424	P61586|Q15904|P55085|P09601|P17612|O00203|Q13546|Q9UHD2|Q9UJZ1|Q9NQT5|Q4KMQ2|	RHOA|ATP6AP1|F2RL1|HMOX1|PRKACA|AP3B1|RIPK1|TBK1|STOML2|EXOSC3|ANO6|
GO:0002685	regulation of leukocyte migration	biological_process	4	25	0.190835669	0.404475043	P61586|P55085|P09601|Q4KMQ2|	RHOA|F2RL1|HMOX1|ANO6|
GO:0002687	positive regulation of leukocyte migration	biological_process	3	10	0.105790915	0.30106486	P61586|P55085|Q4KMQ2|	RHOA|F2RL1|ANO6|
GO:0002694	regulation of leukocyte activation	biological_process	6	109	0.45466616	0.69540636	P61586|P55085|P09601|O00203|Q9H4P4|Q9NQT5|	RHOA|F2RL1|HMOX1|AP3B1|RNF41|EXOSC3|
GO:0002696	positive regulation of leukocyte activation	biological_process	4	52	0.467949169	0.715589888	P61586|P55085|O00203|Q9NQT5|	RHOA|F2RL1|AP3B1|EXOSC3|
GO:0002697	regulation of immune effector process	biological_process	3	44	0.946739445	1	P55085|P09601|Q9NQT5|	F2RL1|HMOX1|EXOSC3|
GO:0002699	positive regulation of immune effector process	biological_process	3	44	0.946739445	1	P55085|P09601|Q9NQT5|	F2RL1|HMOX1|EXOSC3|
